 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_C6	rel_flux_C7	rel_flux_C8	rel_flux_C9	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_C8	rel_flux_err_C9	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_C8	rel_flux_SNR_C9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_C8	Y(IJ)_C8	X(FITS)_C8	Y(FITS)_C8	RA_C8	DEC_C8	Source-Sky_C8	Source_Error_C8	Source_SNR_C8	Peak_C8	Mean_C8	Sky/Pixel_C8	FWHM_C8	Width_C8	X-Width_C8	Y-Width_C8	Angle_C8	Roundness_C8	X(IJ)_C9	Y(IJ)_C9	X(FITS)_C9	Y(FITS)_C9	RA_C9	DEC_C9	Source-Sky_C9	Source_Error_C9	Source_SNR_C9	Peak_C9	Mean_C9	Sky/Pixel_C9	FWHM_C9	Width_C9	X-Width_C9	Y-Width_C9	Angle_C9	Roundness_C9
1	Autosave Image -0289r_out.fits	1.000000	0.000000	58757.435301	2458757.435301	2458757.435127	2458757.436656	2458757.437431	1.095950	65.810467	-20.000000	30.000000	20.225556	65.161944	6.753061	8.221912	1.200000	6.000000	11.000000	17.000000	0.053375	0.158151	0.176487	0.257789	0.151856	0.100824	0.281585	0.042328	0.025355	0.000232	0.000415	0.000442	0.000568	0.000405	0.000324	0.000602	0.000218	0.000182	230.274841	381.476766	398.853500	453.844563	375.059882	310.867478	468.077854	194.599846	139.386335	3004011.574404	2718.024043	1646.826744	1232.146408	1647.326744	1272.353592	20.225438	65.162232	160339.515768	212.371136	681.015263	235.441883	3901.816650	754.996741	42.877198	459.000000	5.939503	6.552961	6.504422	6.601499	305.446861	0.997952	2054.417087	1684.395079	2054.917087	820.104921	20.236031	65.215121	410212.288498	998.235174	410.937522	8138.461914	1931.582115	56.121411	6.622189	6.750779	6.400463	7.101095	275.509482	0.988880	2308.807759	1509.275094	2309.307759	995.224906	20.232510	65.252150	450637.727118	1039.256734	433.615403	10134.523438	2121.934907	57.245029	6.105816	6.612320	6.227501	6.997139	85.391486	0.986189	1454.902896	1962.081891	1455.402896	542.418109	20.241301	65.129010	615685.342070	1202.277943	512.099008	9718.568359	2899.100853	73.520718	7.877948	7.195372	7.116902	7.273841	300.936768	0.997860	840.508544	783.584471	841.008544	1720.915529	20.214450	65.053642	396036.368261	983.321545	402.753677	5966.977051	1864.831424	61.406461	8.120068	7.234473	7.565675	6.903271	1.202389	0.991637	1299.540738	1962.629857	1300.040738	541.870143	20.241083	65.107330	275136.587809	845.876242	325.268135	4260.608398	1295.546056	53.968523	7.970932	7.058022	7.115191	7.000853	327.551830	0.998542	2196.924246	702.960377	2197.424246	1801.539623	20.214469	65.243499	660030.309537	1234.246092	534.763945	19636.669922	3107.909678	63.534793	5.231758	6.115708	6.126962	6.104455	40.517447	0.999442	1869.090813	1339.863565	1869.590813	1164.636435	20.228131	65.192296	121989.343652	616.777967	197.784860	2773.645996	574.415836	38.595106	6.304805	6.598395	6.391272	6.805517	279.068535	0.995644	1854.374649	1478.606925	1854.874649	1025.893075	20.231183	65.189029	74283.607461	528.628481	140.521387	1613.589844	349.782032	36.079516	6.604531	6.673901	6.471135	6.876667	279.550000	0.995873
2	Autosave Image -0290r_out.fits	2.000000	0.000000	58757.435845	2458757.435845	2458757.435671	2458757.437200	2458757.437975	1.096637	65.730458	-20.000000	30.000000	20.225556	65.161944	7.441265	8.265651	1.200000	6.000000	11.000000	17.000000	0.054158	0.157013	0.176954	0.256085	0.153646	0.101687	0.281048	0.042372	0.025165	0.000233	0.000413	0.000444	0.000565	0.000408	0.000325	0.000602	0.000219	0.000181	232.018352	380.184667	398.923314	453.052667	376.133344	312.705412	467.126395	193.895577	139.078684	3001960.682912	2717.896167	1646.484906	1235.443094	1646.984906	1269.056906	20.225444	65.162293	162580.441486	214.636690	685.087670	237.313337	3794.819092	757.468080	37.567411	476.000000	6.090597	6.481032	6.353262	6.608801	290.313323	0.997303	2053.950606	1687.779425	2054.450606	816.720575	20.236031	65.215133	407381.386205	995.237116	409.330982	8082.603027	1898.004419	54.475851	6.883205	6.810188	6.476772	7.143605	273.937010	0.990276	2308.325218	1512.667952	2308.825218	991.832048	20.232511	65.252174	451342.046578	1040.510731	433.769718	10112.710938	2102.818705	55.217123	6.295911	6.590782	6.134359	7.047205	83.144381	0.979868	1454.716715	1965.375111	1455.216715	539.124889	20.241294	65.128985	612026.940084	1197.732490	510.988009	9599.930664	2851.455359	69.456081	7.661482	7.135099	7.002069	7.268130	291.466080	0.997408	840.422895	786.952742	840.922895	1717.547258	20.214466	65.053710	399809.163253	989.226964	404.163228	6439.714355	1862.725162	58.508390	8.048773	7.133434	7.350412	6.916455	3.461173	0.996252	1299.521028	1965.912744	1300.021028	538.587256	20.241074	65.107313	277084.020739	846.269355	327.418238	4140.099121	1290.944343	49.929272	8.020446	7.148447	7.027446	7.269448	295.878024	0.997011	2196.406769	706.430324	2196.906769	1798.069676	20.214469	65.243508	658598.423818	1234.809314	533.360428	21576.603516	3068.433565	59.356423	4.954253	5.975257	5.917488	6.033027	66.131853	0.999174	1868.608164	1343.274699	1869.108164	1161.225301	20.228138	65.192335	122029.772794	619.287971	197.048511	3077.870361	568.541067	36.123017	5.765300	6.473391	6.204662	6.742120	276.212530	0.992797	1853.950802	1482.005610	1854.450802	1022.494390	20.231188	65.189066	73688.929440	525.569707	140.207718	1635.692505	343.319353	32.543701	6.498353	6.691205	6.418820	6.963589	279.150758	0.992671
3	Autosave Image -0291r_out.fits	3.000000	0.000000	58757.436505	2458757.436505	2458757.436331	2458757.437859	2458757.438635	1.097473	65.633486	-20.000000	30.000000	20.225556	65.161944	8.215382	8.780792	1.200000	6.000000	11.000000	17.000000	0.054244	0.158713	0.175942	0.259445	0.152282	0.102299	0.278398	0.041916	0.025059	0.000244	0.000428	0.000455	0.000587	0.000419	0.000339	0.000613	0.000228	0.000194	222.606642	370.619217	386.811209	442.058335	363.263893	301.985337	454.058202	183.559840	128.992745	2919366.709296	2727.502932	1645.486646	1230.547328	1645.986646	1273.952672	20.225443	65.162268	158359.541130	242.224035	695.831962	227.583023	2893.899414	653.773028	43.690906	430.000000	7.146817	6.817560	6.508905	7.126215	86.369845	0.991702	2052.928754	1682.777114	2053.428754	821.722886	20.236028	65.215131	399875.850661	1000.977786	399.485239	6706.189941	1650.851247	55.195241	7.384098	7.052185	6.513285	7.591085	85.150893	0.976238	2307.340559	1507.643564	2307.840559	996.856436	20.232506	65.252158	436789.801396	1038.362494	420.652521	7965.976562	1803.247150	57.776828	6.836614	6.852188	6.294418	7.409958	79.062251	0.969627	1453.715191	1960.599975	1454.215191	543.900025	20.241300	65.129052	601388.141983	1203.096538	499.866904	8166.919922	2482.776497	69.136333	8.380463	7.204139	6.993395	7.414882	78.783536	0.996000	839.344312	781.897733	839.844312	1722.602267	20.214462	65.053682	385814.016212	989.027342	390.094388	5295.811035	1592.798236	61.299189	8.493117	7.281742	7.384171	7.179313	23.478975	0.998302	1298.391410	1961.124851	1298.891410	543.375149	20.241081	65.107373	270931.972142	857.175288	316.075342	3628.966553	1118.518118	56.051960	8.650804	7.276017	6.941428	7.610607	85.461617	0.991362	2195.335522	701.407747	2195.835522	1803.092253	20.214471	65.243476	635754.044774	1224.798114	519.068439	14990.132812	2624.653016	66.196208	6.024049	6.474230	6.131611	6.816849	74.930257	0.985105	1867.638817	1338.164629	1868.138817	1166.335371	20.228132	65.192317	117444.027011	630.070153	186.398334	2425.838379	484.857033	40.798141	6.555822	6.842389	6.367991	7.316786	83.078574	0.979799	1852.883624	1477.132019	1853.383624	1027.367981	20.231187	65.189042	71368.855118	549.212519	129.947612	1291.723267	294.639857	37.382616	7.025389	6.953470	6.516696	7.390243	86.575236	0.984116
4	Autosave Image -0292r_out.fits	4.000000	0.000000	58757.437060	2458757.437060	2458757.436887	2458757.438415	2458757.439190	1.098181	65.551879	-20.000000	30.000000	20.225556	65.161944	8.763534	8.771555	1.200000	6.000000	11.000000	17.000000	0.053872	0.157143	0.176793	0.259189	0.151750	0.101237	0.281383	0.042349	0.024820	0.000269	0.000468	0.000500	0.000641	0.000460	0.000371	0.000676	0.000255	0.000217	199.932455	335.789871	353.559763	404.573801	329.571745	273.067762	416.266639	166.103180	114.372942	2508132.161973	2572.199827	1643.901689	1222.165401	1644.401689	1282.334599	20.225437	65.162238	135119.268970	241.714722	661.465812	204.272491	2409.260010	559.003060	45.018873	464.000000	7.288906	7.057920	6.912076	7.203764	275.985987	0.998217	2051.458340	1674.523710	2051.958340	829.976290	20.236027	65.215132	340609.972634	942.045803	361.564132	5155.162109	1409.140371	67.658638	7.892695	7.119159	6.777332	7.460986	80.052401	0.989618	2305.720985	1499.525210	2306.220985	1004.974790	20.232511	65.252145	376803.652613	979.278497	384.776806	6225.477051	1558.877548	64.195908	7.557920	6.948361	6.614139	7.282582	72.350895	0.986170	1451.995665	1952.369211	1452.495665	552.130789	20.241301	65.129002	516269.056362	1126.576729	458.263555	6622.691406	2135.861038	80.688703	8.851577	7.441820	7.289515	7.594125	86.064607	0.998294	837.581369	773.754205	838.081369	1730.745795	20.214464	65.053610	330461.874003	934.428852	353.651189	3794.937012	1367.156587	64.892885	9.392455	7.465516	7.647795	7.283238	356.273086	0.997577	1296.536461	1953.020342	1297.036461	551.479658	20.241087	65.107298	230572.908398	807.371746	285.584565	2902.181396	953.905111	64.939057	9.123353	7.462325	7.357089	7.567562	77.732272	0.999039	2193.968030	693.061319	2194.468030	1811.438681	20.214466	65.243501	550768.931809	1154.240686	477.169917	12009.293945	2278.590761	74.174013	6.123237	6.593202	6.417035	6.769369	63.326143	0.991998	1866.094554	1329.966147	1866.594554	1174.533853	20.228131	65.192298	101900.815499	604.272912	168.633764	1730.923462	421.574717	42.880933	7.288474	7.051112	6.796199	7.306026	83.541882	0.994511	1851.522744	1468.797657	1852.022744	1035.702343	20.231184	65.189050	60744.950656	527.424332	115.172826	1079.767334	251.308444	41.514237	7.137804	7.016920	6.714826	7.319014	85.046647	0.992388
5	Autosave Image -0293r_out.fits	5.000000	0.000000	58757.437604	2458757.437604	2458757.437431	2458757.438960	2458757.439735	1.098802	65.480517	-20.000000	30.000000	20.226944	65.161944	8.248520	8.597593	1.200000	6.000000	11.000000	17.000000	0.053777	0.157372	0.174202	0.259484	0.154535	0.102917	0.278042	0.042202	0.025047	0.000262	0.000455	0.000484	0.000626	0.000451	0.000364	0.000654	0.000247	0.000208	205.370647	345.628004	359.907544	414.498098	342.552714	283.008007	425.001520	170.704902	120.177271	2588948.987366	2585.415259	1642.654320	1221.943027	1643.154320	1282.556973	20.225444	65.162239	139225.932132	232.222155	663.514555	209.831014	2690.746338	599.537680	44.002036	484.000000	6.698853	6.840720	6.718289	6.963151	290.903590	0.997695	2050.236536	1674.171436	2050.736536	830.328564	20.236031	65.215133	352028.578528	945.502884	372.318884	5978.296387	1515.912977	62.474255	7.207180	7.038131	6.656472	7.419791	273.565412	0.988123	2304.488575	1499.132777	2304.988575	1005.367223	20.232510	65.252118	384091.509504	982.523750	390.923384	7550.968750	1653.983055	64.861935	6.529753	6.743645	6.162728	7.324562	89.967241	0.970753	1450.830156	1951.887952	1451.330156	552.612048	20.241308	65.129073	533386.320708	1137.056719	469.093856	7238.844238	2296.879556	72.071851	8.296215	7.356519	7.166599	7.546439	283.870056	0.996601	836.200394	773.295866	836.700394	1731.204134	20.214462	65.053622	346531.725152	940.674386	368.386479	4589.220215	1492.242310	63.423849	8.685004	7.350532	7.591158	7.109906	350.873412	0.995257	1295.366114	1952.590609	1295.866114	551.909391	20.241094	65.107377	241582.733056	815.425589	296.265823	3129.989502	1040.308720	58.480533	9.014559	7.349500	7.197704	7.501297	287.441018	0.997467	2192.652420	692.716064	2193.152420	1811.783936	20.214470	65.243478	563233.367048	1159.047945	485.944839	14392.529297	2425.407544	72.594344	5.693042	6.358478	6.197482	6.519473	272.646014	0.997417	1864.847300	1329.638544	1865.347300	1174.861456	20.228134	65.192291	104833.457310	604.889685	173.310043	2134.999268	451.436071	43.587171	6.543915	6.793160	6.630943	6.955376	290.373538	0.996031	1850.228428	1468.421177	1850.728428	1036.078823	20.231187	65.189043	63261.296061	522.565400	121.059098	1258.498657	272.417143	40.848391	6.804624	6.914524	6.687095	7.141954	283.961372	0.994469
6	Autosave Image -0294r_out.fits	6.000000	0.000000	58757.438160	2458757.438160	2458757.437986	2458757.439515	2458757.440290	1.099514	65.399000	-20.000000	30.000000	20.226944	65.161944	7.579370	8.160546	1.200000	6.000000	11.000000	17.000000	0.053961	0.157169	0.175852	0.257992	0.151303	0.102790	0.281524	0.042386	0.025193	0.000253	0.000445	0.000475	0.000610	0.000436	0.000354	0.000646	0.000238	0.000199	213.217887	352.985273	369.993373	422.793719	347.196870	290.190451	436.019369	178.219878	126.787554	2636733.880105	2570.178595	1642.066837	1226.325749	1642.566837	1278.174251	20.225442	65.162245	142279.875006	209.212849	652.726707	217.977713	3367.255615	680.072355	42.555151	467.000000	6.083271	6.546871	6.539113	6.554630	313.918758	0.996054	2049.684694	1678.623244	2050.184694	825.876756	20.236032	65.215139	358126.609277	942.392206	380.018645	7325.989258	1711.781139	57.567869	6.684396	6.740306	6.422033	7.058579	280.189413	0.989896	2304.123918	1503.379838	2304.623918	1001.120162	20.232505	65.252156	394330.819778	980.476143	402.182983	9438.844727	1884.830790	57.316944	5.885271	6.473060	6.076996	6.869124	272.129324	0.985054	1450.287149	1956.333320	1450.787149	548.166680	20.241308	65.129059	540747.745648	1131.996733	477.693734	8917.829102	2584.677508	65.360695	7.638958	7.072535	6.962401	7.182668	291.931215	0.998135	835.725509	777.827835	836.225509	1726.672165	20.214463	65.053641	346515.861643	929.866384	372.651241	5029.247070	1656.283842	63.781337	8.420682	7.232280	7.617329	6.847231	355.008685	0.988377	1294.976456	1956.940548	1295.476456	547.559452	20.241093	65.107383	245766.981314	808.941090	303.813200	3866.762207	1174.722214	56.900370	7.974645	7.143706	7.184169	7.103243	340.578224	0.999788	2192.077426	697.184630	2192.577426	1807.315370	20.214461	65.243454	579234.638774	1161.079311	498.876031	18728.058594	2768.637974	61.000810	5.049761	6.010724	5.995338	6.026110	52.126097	0.999568	1864.319230	1334.099262	1864.819230	1170.400738	20.228134	65.192304	107216.847532	592.184970	181.052970	2682.160156	512.477355	42.133465	6.038950	6.492344	6.267907	6.716781	289.862497	0.991938	1849.618556	1472.832850	1850.118556	1031.667150	20.231186	65.189044	64794.376140	507.089229	127.777071	1478.006226	309.705529	36.999508	6.189880	6.604900	6.364068	6.845731	284.251984	0.993132
7	Autosave Image -0295r_out.fits	7.000000	0.000000	58757.438704	2458757.438704	2458757.438530	2458757.440059	2458757.440834	1.100214	65.319229	-20.000000	30.000000	20.226944	65.161944	8.097017	8.580233	1.200000	6.000000	11.000000	17.000000	0.053917	0.158239	0.175379	0.258452	0.153616	0.101763	0.279189	0.042336	0.025011	0.000281	0.000486	0.000516	0.000663	0.000479	0.000385	0.000696	0.000265	0.000226	192.088285	325.694034	340.003128	389.793515	320.853136	264.084203	401.327711	159.608525	110.713423	2338063.128317	2483.398580	1640.489622	1223.982265	1640.989622	1280.517735	20.225443	65.162273	126060.734637	231.285310	642.459992	196.215696	2478.437256	545.044277	49.381785	476.000000	6.598812	6.746753	6.448775	7.044732	270.876819	0.992220	2047.918511	1676.380011	2048.418511	828.119989	20.236031	65.215119	319426.714139	910.053005	350.997923	5493.471680	1381.093826	62.447083	7.046929	6.994692	6.554316	7.435069	86.544812	0.984039	2302.357325	1501.197749	2302.857325	1003.302251	20.232510	65.252151	348864.411470	943.663910	369.691378	6985.708496	1508.372542	63.594405	6.811541	6.761185	6.212106	7.310265	83.470478	0.972563	1448.640324	1954.146588	1449.140324	550.353412	20.241301	65.129028	480174.738054	1088.429384	441.162968	6520.354980	2076.114291	75.560585	8.465361	7.326158	7.169844	7.482472	271.148208	0.998178	834.111468	775.515555	834.611468	1728.984445	20.214467	65.053654	311337.774207	902.923351	344.810857	4198.750000	1346.119967	64.315023	8.686503	7.275331	7.517023	7.033639	2.763478	0.995554	1293.194609	1954.779713	1293.694609	549.720287	20.241086	65.107332	215952.843004	781.770375	276.235644	2827.344727	933.707561	59.856396	8.823567	7.347746	7.250209	7.445283	77.281863	0.999136	2190.417722	694.787057	2190.917722	1809.712943	20.214473	65.243500	510293.348151	1109.983229	459.730683	13822.747070	2206.337045	68.655728	5.602858	6.232482	5.953103	6.511860	74.172904	0.988952	1862.578391	1331.794137	1863.078391	1172.705863	20.228136	65.192308	94963.009778	586.137227	162.014978	1947.083130	410.588159	47.380470	6.528018	6.706501	6.410708	7.002293	270.820469	0.992243	1847.924881	1470.598161	1848.424881	1033.901839	20.231188	65.189046	57050.289513	511.699934	111.491688	1134.366943	246.666290	43.244601	6.730198	6.830305	6.574475	7.086136	86.500527	0.994320
8	Autosave Image -0296r_out.fits	8.000000	0.000000	58757.439259	2458757.439259	2458757.439086	2458757.440615	2458757.441390	1.100932	65.237809	-20.000000	30.000000	20.226944	65.161944	8.339514	8.729656	1.200000	6.000000	11.000000	17.000000	0.054015	0.156869	0.176573	0.257304	0.153631	0.100756	0.280580	0.043193	0.025081	0.000349	0.000583	0.000622	0.000788	0.000580	0.000468	0.000832	0.000337	0.000294	154.803927	269.093897	283.918627	326.682713	265.104067	215.149184	337.350978	127.987037	85.297038	1749349.103308	2242.550157	1638.643376	1216.565908	1639.143376	1287.934092	20.225444	65.162219	94491.917984	239.411025	598.257430	157.945248	1714.053711	394.684907	54.897083	448.000000	7.177970	6.828201	6.637866	7.018536	79.538499	0.996443	2046.336545	1668.948321	2046.836545	835.551679	20.236033	65.215090	237208.220507	818.402702	289.842910	3989.844238	990.799069	68.280255	7.531243	7.061464	6.543576	7.579352	85.886573	0.978270	2300.718569	1493.798484	2301.218569	1010.701516	20.232512	65.252113	262532.082423	848.937971	309.247662	5159.476074	1096.574740	70.759307	6.742608	6.808807	6.257619	7.359996	83.526244	0.972760	1447.017352	1946.637663	1447.517352	557.862337	20.241303	65.129018	357999.848858	964.109690	371.326886	4785.084473	1495.335685	78.552031	8.447779	7.235381	7.041440	7.429321	88.144218	0.997118	832.642378	767.944983	833.142378	1736.555017	20.214461	65.053686	232963.398651	818.121776	284.753939	3038.328857	973.068800	71.353280	8.750412	7.435831	7.633176	7.238486	12.224426	0.996605	1291.597084	1947.150630	1292.097084	557.349370	20.241085	65.107335	160123.680512	712.744135	224.658012	2191.590576	668.823337	67.931511	8.727374	7.357715	7.206624	7.508805	77.511708	0.997949	2188.813640	687.406038	2189.313640	1817.093962	20.214473	65.243480	383288.886810	985.624209	388.879335	9480.148438	1600.965900	70.835045	5.776625	6.442497	6.108397	6.776597	73.542991	0.984817	1860.947436	1324.306064	1861.447436	1180.193936	20.228136	65.192278	72431.723181	558.099940	129.782711	1393.726318	302.541302	54.872194	6.972420	6.900007	6.522797	7.277216	87.087102	0.987993	1846.321020	1463.093572	1846.821020	1041.406428	20.231188	65.189020	42801.262365	498.785505	85.810959	875.409729	178.777324	52.189259	6.832177	6.919416	6.554720	7.284111	80.735184	0.987708
9	Autosave Image -0297r_out.fits	9.000000	0.000000	58757.439815	2458757.439815	2458757.439641	2458757.441170	2458757.441946	1.101652	65.156440	-20.000000	30.000000	20.226944	65.161944	7.979794	8.418206	1.200000	6.000000	11.000000	17.000000	0.053573	0.159188	0.178600	0.254997	0.151943	0.100791	0.279573	0.042949	0.025450	0.000249	0.000442	0.000473	0.000598	0.000432	0.000346	0.000635	0.000236	0.000199	214.896353	359.788161	377.239887	426.309916	352.120463	291.703816	440.570234	181.713930	127.914999	2723621.228547	2622.040913	1637.432830	1214.759331	1637.932830	1289.740669	20.225446	65.162329	145911.494825	222.632694	664.296266	219.648224	3088.096436	655.391138	44.650907	456.000000	6.580262	6.650186	6.487745	6.812628	286.733650	0.996574	2044.999451	1667.078886	2045.499451	837.421114	20.236032	65.215186	374027.767507	964.401080	387.834248	6827.810059	1680.021746	56.828064	6.950419	6.905823	6.459945	7.351702	270.659965	0.983455	2299.335286	1491.917694	2299.835286	1012.582306	20.232509	65.252187	412725.785801	1004.935390	410.698827	8796.333984	1853.841762	54.962449	6.490824	6.651901	6.143853	7.159948	85.706016	0.976410	1445.672906	1944.697181	1446.172906	559.802819	20.241313	65.129198	553400.153881	1150.724352	480.914611	8150.076172	2485.709281	70.641167	8.122797	7.172256	7.061258	7.283254	295.870459	0.997503	831.165395	766.180390	831.665395	1738.319610	20.214471	65.053784	359249.781839	950.277985	378.047043	5237.016602	1613.643420	60.014384	8.596537	7.299633	7.615032	6.984234	1.229898	0.992547	1290.236652	1945.347846	1290.736652	559.152154	20.241102	65.107538	249380.731253	817.198821	305.165310	3421.995605	1120.144246	54.580031	8.486044	7.283317	7.162198	7.404436	293.833228	0.997562	2187.443051	685.602802	2187.943051	1818.897198	20.214470	65.243522	595081.898675	1181.598455	503.624472	17499.031250	2672.931310	62.716843	5.475392	6.152461	6.052219	6.252704	72.342203	0.998406	1859.670058	1322.467574	1860.170058	1182.032426	20.228135	65.192374	112158.431148	607.425716	184.645510	2499.963135	503.782392	41.261202	6.160210	6.606480	6.383440	6.829520	89.155640	0.995447	1844.919668	1461.346150	1845.419668	1043.153850	20.231190	65.189108	67596.678443	524.389515	128.905473	1342.171387	303.624222	37.828796	6.616151	6.800587	6.543058	7.058117	275.191730	0.994088
10	Autosave Image -0298r_out.fits	10.000000	0.000000	58757.440359	2458757.440359	2458757.440185	2458757.441714	2458757.442489	1.102360	65.076814	-20.000000	30.000000	20.226944	65.161944	8.195736	8.519001	1.200000	6.000000	11.000000	17.000000	0.053735	0.157345	0.177081	0.258525	0.151906	0.102349	0.278763	0.042587	0.025247	0.000259	0.000454	0.000485	0.000621	0.000444	0.000361	0.000651	0.000245	0.000208	207.456748	346.942434	365.028265	416.606398	341.756118	283.156009	428.246185	173.942199	121.379509	2601434.308040	2582.118190	1636.224608	1220.571034	1636.724608	1283.928966	20.225440	65.162259	139789.364911	227.995994	659.383820	211.999993	2767.282471	613.122023	45.104350	446.000000	6.910694	6.751682	6.659592	6.843773	298.453920	0.997505	2043.753764	1672.916000	2044.253764	831.584000	20.236030	65.215142	353673.973665	946.734036	373.572683	6180.719238	1551.228895	60.273748	7.314060	7.016013	6.603180	7.428846	273.242150	0.986068	2298.189264	1497.800090	2298.689264	1006.699910	20.232512	65.252168	391362.089544	985.322136	397.192020	7711.732422	1716.530553	60.990494	6.729409	6.774111	6.339855	7.208368	84.267309	0.983026	1444.506118	1950.692643	1445.006118	553.807357	20.241294	65.129057	534383.732884	1133.865465	471.293773	7379.752441	2343.829485	76.217222	8.522919	7.174313	7.079635	7.268990	290.174600	0.998801	830.031928	772.003505	830.531928	1732.496495	20.214456	65.053677	343061.499711	934.862852	366.964522	4665.305176	1504.682139	59.132872	8.746899	7.370216	7.670368	7.070063	354.072718	0.993097	1289.181384	1951.198103	1289.681384	553.301897	20.241073	65.107376	241532.761326	815.312459	296.245640	3318.531738	1059.372830	52.276852	8.617793	7.329925	7.177351	7.482498	277.945588	0.998128	2186.221614	691.374226	2186.721614	1813.125774	20.214466	65.243467	567097.794919	1157.402225	489.974689	14912.925781	2487.314734	65.117139	5.613352	6.312007	6.181953	6.442062	87.120576	0.998286	1858.474665	1328.313423	1858.974665	1176.186577	20.228133	65.192321	106261.109180	601.466212	176.670122	2110.402588	466.065685	42.107370	6.546540	6.723883	6.455093	6.992674	281.255769	0.992534	1843.779446	1467.114127	1844.279446	1037.385873	20.231185	65.189059	64061.346812	523.902603	122.277207	1251.000977	280.975756	39.954876	6.780160	6.910965	6.666697	7.155234	275.206330	0.994847
